train,validation,test,min
0.00,0.00,10.00,0.00
0.00,0.00,60.00,0.00
30.00,30.00,70.00,0.00
50.00,50.00,70.00,0.00
50.00,50.00,70.00,0.00
50.00,50.00,70.00,0.00
60.00,60.00,70.00,0.00
60.00,60.00,70.00,0.00
60.00,60.00,70.00,0.00
60.00,60.00,70.00,0.00
70.00,70.00,80.00,0.00
70.00,70.00,70.00,0.00
70.00,70.00,70.00,0.00
76.82,77.06,70.00,0.00
80.00,80.00,70.00,0.00
82.09,81.76,70.00,0.00
90.00,90.00,70.00,0.00
90.00,90.00,70.00,0.00
100.00,100.00,70.00,0.00
100.00,100.00,60.00,0.00
