Total:    16 | Class: 0 | [0,0,0,1,14,0,1] | Acc: 0.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 1 | [0,0,0,0,16,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.026
Total:    16 | Class: 2 | [0,0,0,1,14,0,1] | Acc: 0.00 | Acc2: 0.00 | Time: 0.025
Total:    16 | Class: 3 | [0,0,0,2,12,0,2] | Acc: 12.50 | Acc2: 0.00 | Time: 0.025
Total:    16 | Class: 4 | [0,0,0,1,15,0,0] | Acc: 93.75 | Acc2: 0.00 | Time: 0.025
Total:    16 | Class: 5 | [0,0,0,0,14,1,1] | Acc: 6.25 | Acc2: 0.00 | Time: 0.027
Total:    16 | Class: 6 | [0,0,0,1,15,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,10,0,0,0,0,6] | Acc: 62.50 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 2 | [0,0,14,2,0,0,0] | Acc: 87.50 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 3 | [0,0,1,15,0,0,0] | Acc: 93.75 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 4 | [0,0,1,0,15,0,0] | Acc: 93.75 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 56.25 | Time: 0.029
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.50 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 56.25 | Time: 0.029
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 56.25 | Time: 0.029
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 93.75 | Time: 0.028
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 93.75 | Time: 0.027
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 81.25 | Acc2: 0.00 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.030
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 31.25 | Time: 0.027
