Total:    16 | Class: 0 | [0,0,0,1,0,1,14] | Acc: 0.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 1 | [0,1,0,0,0,3,12] | Acc: 6.25 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,1,4,1,0,10] | Acc: 6.25 | Acc2: 0.00 | Time: 0.028
Total:    16 | Class: 3 | [0,1,0,3,0,2,10] | Acc: 18.75 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 4 | [0,0,0,0,0,0,16] | Acc: 0.00 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,1,15] | Acc: 6.25 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 6 | [0,0,1,0,0,3,12] | Acc: 75.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,14,0,0,0,0,2] | Acc: 87.50 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,13,3,0,0,0] | Acc: 81.25 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 3 | [0,0,2,14,0,0,0] | Acc: 87.50 | Acc2: 0.00 | Time: 0.034
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.030
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.023
Total:    16 | Class: 6 | [0,3,0,0,0,0,13] | Acc: 81.25 | Acc2: 0.00 | Time: 0.031
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 68.75 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 93.75 | Time: 0.041
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 87.50 | Time: 0.021
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.047
Total:    16 | Class: 6 | [0,2,0,0,0,0,14] | Acc: 87.50 | Acc2: 50.00 | Time: 0.033
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.038
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 93.75 | Acc2: 81.25 | Time: 0.030
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.042
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.021
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.038
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.027
Total:    16 | Class: 6 | [0,1,0,0,0,0,15] | Acc: 93.75 | Acc2: 93.75 | Time: 0.032
